# Blackjack High-Low Simulation Results
# Deck Count: 6
# Penetration: No penetration (all cards played)
"# Total Shoes: 1,000,000"
"# Total Hands: 69,012,280"
# Generated: 2025-05-24 19:38:02

True Count,Percentage
-10,1.668655
-9,0.442131
-8,1.028443
-7,0.869635
-6,1.969802
-5,1.983670
-4,3.886605
-3,4.784712
-2,9.035996
-1,13.701743
0,21.207907
1,13.703890
2,9.048462
3,4.800401
4,3.897241
5,1.986848
6,1.974111
7,0.869806
8,1.027214
9,0.441530
10,1.671197
