# Blackjack High-Low Simulation Results
# Deck Count: 3
# Penetration: No penetration (all cards played)
"# Total Shoes: 1,000,000"
"# Total Hands: 31,298,341"
# Generated: 2025-05-24 22:23:08

True Count,Percentage
-10,0.942718
-9,1.164317
-8,1.185814
-7,1.633889
-6,2.471859
-5,3.077240
-4,4.161668
-3,5.825647
-2,8.389694
-1,11.546347
0,19.243301
1,11.547446
2,8.370134
3,5.821079
4,4.151262
5,3.074173
6,2.472674
7,1.631940
8,1.180094
9,1.163378
10,0.945328
