# Blackjack High-Low Simulation Results
# Deck Count: 3
# Penetration: 1.75 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 19,907,049"
# Generated: 2025-05-24 19:18:23

True Count,Percentage
-10,8.872983
-9,0.780723
-8,2.687144
-7,1.258419
-6,3.710550
-5,2.301240
-4,5.076513
-3,4.235354
-2,7.635843
-1,8.644471
0,9.543283
1,8.656647
2,7.632211
3,4.244954
4,5.078432
5,2.305369
6,3.713735
7,1.260111
8,2.686033
9,0.781462
10,8.894523
