# Blackjack High-Low Simulation Results
# Deck Count: 3
# Penetration: 2.75 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 31,464,134"
# Generated: 2025-05-24 19:12:43

True Count,Percentage
-10,4.420357
-9,0.673166
-8,2.054310
-7,1.177445
-6,3.222507
-5,2.358384
-4,5.016839
-3,4.747542
-2,8.894953
-1,9.762087
0,15.381510
1,9.756229
2,8.884497
3,4.738138
4,5.013035
5,2.349914
6,3.228594
7,1.174385
8,2.047989
9,0.670535
10,4.427584
