# Blackjack High-Low Simulation Results
# Deck Count: 1
# Penetration: No penetration (all cards played)
"# Total Shoes: 1,000,000"
"# Total Hands: 9,061,423"
# Generated: 2025-05-24 22:16:46

True Count,Percentage
-10,1.922568
-9,2.284134
-8,1.622571
-7,2.538762
-6,3.679996
-5,4.172413
-4,4.503851
-3,5.814959
-2,6.677748
-1,5.889219
0,21.907354
1,5.864487
2,6.658413
3,5.812928
4,4.496534
5,4.143290
6,3.669633
7,2.532858
8,1.611789
9,2.283107
10,1.913386
