# Blackjack High-Low Simulation Results
# Deck Count: 4
# Penetration: 2.0 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 22,795,673"
# Generated: 2025-05-24 19:34:59

True Count,Percentage
-10,9.431987
-9,0.835264
-8,2.420740
-7,1.292092
-6,3.354895
-5,2.332491
-4,4.692140
-3,4.230198
-2,7.668394
-1,9.329788
0,8.746835
1,9.322660
2,7.661682
3,4.240493
4,4.708657
5,2.341962
6,3.369319
7,1.297588
8,2.420670
9,0.835553
10,9.466590
