# Blackjack High-Low Simulation Results
# Deck Count: 6
# Penetration: No penetration (all cards played)
"# Total Shoes: 1,000,000"
"# Total Hands: 65,564,395"
# Generated: 2025-05-24 22:47:57

True Count,Percentage
-10,0.558151
-9,0.708044
-8,0.793832
-7,1.109758
-6,1.727740
-5,2.326629
-4,3.418741
-3,5.257738
-2,8.496273
-1,14.424835
0,22.307138
1,14.420534
2,8.506513
3,5.275612
4,3.428011
5,2.329356
6,1.734010
7,1.115999
8,0.797756
9,0.706245
10,0.557086
