# Blackjack High-Low Simulation Results
# Deck Count: 6
# Penetration: 5.25 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 59,763,631"
# Generated: 2025-05-24 22:56:10

True Count,Percentage
-10,0.259040
-9,0.398995
-8,0.609530
-7,0.843687
-6,1.421077
-5,2.120899
-4,3.336272
-3,5.277491
-2,8.849743
-1,15.692392
0,22.321698
1,15.728216
2,8.862310
3,5.284530
4,3.341114
5,2.121754
6,1.422015
7,0.843889
8,0.607185
9,0.400330
10,0.257834
