# Blackjack High-Low Simulation Results
# Deck Count: 6
# Penetration: 3.75 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 43,011,100"
# Generated: 2025-05-24 23:13:25

True Count,Percentage
-10,0.011718
-9,0.031524
-8,0.084599
-7,0.210450
-6,0.490299
-5,1.073600
-4,2.259686
-3,4.607001
-2,9.150010
-1,18.112480
0,27.848765
1,18.143530
2,9.155988
3,4.622179
4,2.274325
5,1.087340
6,0.496576
7,0.211945
8,0.084850
9,0.031815
10,0.011318
