# Blackjack High-Low Simulation Results with Player Edge Analysis
# Deck Count: 3
# Penetration: 2.75 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 25,731,859"
# Fixed Bet Amount: $10 per hand
# Generated: 2025-05-25 14:56:36

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,266110,1.034165,-0.056104,-170035.00,3030700.00
-9,270220,1.050138,-0.051668,-158440.00,3066490.00
-8,308010,1.196999,-0.044609,-155385.00,3483250.00
-7,414106,1.609312,-0.042482,-198200.00,4665510.00
-6,605569,2.353382,-0.034354,-233510.00,6797200.00
-5,765672,2.975580,-0.033129,-283715.00,8563820.00
-4,1061677,4.125924,-0.028413,-336020.00,11826160.00
-3,1548016,6.015951,-0.024301,-417355.00,17174450.00
-2,2237477,8.695357,-0.019936,-493265.00,24742080.00
-1,3103993,12.062840,-0.017451,-596975.00,34208370.00
0,5245700,20.386013,-0.013719,-790425.00,57613740.00
1,2870924,11.157080,-0.009001,-282830.00,31421270.00
2,2107065,8.188546,-0.005551,-127560.00,22980790.00
3,1466527,5.699266,-0.000184,-2930.00,15934300.00
4,1000165,3.886874,0.002816,30500.00,10830330.00
5,727697,2.828000,0.005732,45005.00,7851040.00
6,576197,2.239236,0.011457,70990.00,6196410.00
7,389124,1.512227,0.012542,52295.00,4169600.00
8,286234,1.112372,0.015004,45860.00,3056560.00
9,244528,0.950293,0.017246,44885.00,2602700.00
10,236848,0.920447,0.019456,48900.00,2513410.00
