# Blackjack High-Low Simulation Results with Player Edge Analysis
# Deck Count: 3
# Penetration: 1.5 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 14,785,823"
# Fixed Bet Amount: $10 per hand
# Generated: 2025-05-25 15:15:44

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,5354,0.036210,-0.067364,-4120.00,61160.00
-9,10774,0.072867,-0.046648,-5705.00,122300.00
-8,27882,0.188573,-0.057921,-18295.00,315860.00
-7,53006,0.358492,-0.046285,-27650.00,597380.00
-6,125160,0.846487,-0.037250,-52260.00,1402950.00
-5,228785,1.547327,-0.032792,-83990.00,2561330.00
-4,456535,3.087654,-0.031594,-160710.00,5086690.00
-3,802917,5.430317,-0.025855,-230590.00,8918670.00
-2,1442104,9.753289,-0.021770,-347365.00,15956360.00
-1,2381902,16.109364,-0.017667,-463845.00,26255200.00
0,4232118,28.622810,-0.013689,-636580.00,46503640.00
1,2150608,14.545068,-0.009211,-216870.00,23543520.00
2,1322768,8.946191,-0.006414,-92580.00,14433360.00
3,731554,4.947672,-0.002885,-22960.00,7958090.00
4,412063,2.786879,0.002785,12435.00,4464570.00
5,205436,1.389412,0.003942,8745.00,2218550.00
6,111809,0.756191,0.009492,11440.00,1205270.00
7,46505,0.314524,0.006564,3275.00,498920.00
8,24737,0.167302,0.009482,2510.00,264720.00
9,9258,0.062614,-0.002428,-240.00,98830.00
10,4548,0.030759,0.026256,1270.00,48370.00
